created_at,split,category,category_dir,code,name,shot_index,filename,relative_path,camera_index,goal,pose_steps,quality_checks,avoid,raw_relative_path,curation_status,actual,passed,elapsed_ms
2026-07-08T15:38:00,tune,伸胳膊,stretch_arm,stretch_left_horizontal,左手水平伸直,1,stretch_left_horizontal_001_20260708_153800.jpg,assets/test_images/targeted_samples_clean/stretch_arm/stretch_left_horizontal_001_20260708_153800.jpg,0,补足目前最容易漏检的水平伸左臂样本，观察手腕低于肩膀时的关键点表现。,坐在考试位置，脸和上半身保持在画面中，不要刻意离开座位。 | 只伸左手，手臂尽量从肩膀向左侧水平打开，手腕可以略低于肩膀。 | 右手自然放在桌面或腿上，不要靠近耳朵，避免像打电话。 | 每拍 2 张换一点角度：正对摄像头、身体微左、身体微右交替。,左肩、左肘、左手腕尽量都在画面内。 | 手臂要伸直，不要弯成打电话或托腮姿势。 | 脸不要完全消失，否则会混入视线偏移/离开座位因素。,不要把左手贴在脸或耳朵旁。 | 不要两只手同时举起。 | 不要站起来或大幅转身。,assets/test_images/targeted_samples/stretch_arm/stretch_left_horizontal_001_20260708_153800.jpg,kept,警告，考生伸展胳膊,True,517.30
2026-07-08T15:38:46,tune,伸胳膊,stretch_arm,stretch_left_horizontal,左手水平伸直,4,stretch_left_horizontal_004_20260708_153846.jpg,assets/test_images/targeted_samples_clean/stretch_arm/stretch_left_horizontal_004_20260708_153846.jpg,0,补足目前最容易漏检的水平伸左臂样本，观察手腕低于肩膀时的关键点表现。,坐在考试位置，脸和上半身保持在画面中，不要刻意离开座位。 | 只伸左手，手臂尽量从肩膀向左侧水平打开，手腕可以略低于肩膀。 | 右手自然放在桌面或腿上，不要靠近耳朵，避免像打电话。 | 每拍 2 张换一点角度：正对摄像头、身体微左、身体微右交替。,左肩、左肘、左手腕尽量都在画面内。 | 手臂要伸直，不要弯成打电话或托腮姿势。 | 脸不要完全消失，否则会混入视线偏移/离开座位因素。,不要把左手贴在脸或耳朵旁。 | 不要两只手同时举起。 | 不要站起来或大幅转身。,assets/test_images/targeted_samples/stretch_arm/stretch_left_horizontal_004_20260708_153846.jpg,kept,警告，考生伸展胳膊,True,565.34
2026-07-08T15:38:49,tune,伸胳膊,stretch_arm,stretch_left_horizontal,左手水平伸直,5,stretch_left_horizontal_005_20260708_153849.jpg,assets/test_images/targeted_samples_clean/stretch_arm/stretch_left_horizontal_005_20260708_153849.jpg,0,补足目前最容易漏检的水平伸左臂样本，观察手腕低于肩膀时的关键点表现。,坐在考试位置，脸和上半身保持在画面中，不要刻意离开座位。 | 只伸左手，手臂尽量从肩膀向左侧水平打开，手腕可以略低于肩膀。 | 右手自然放在桌面或腿上，不要靠近耳朵，避免像打电话。 | 每拍 2 张换一点角度：正对摄像头、身体微左、身体微右交替。,左肩、左肘、左手腕尽量都在画面内。 | 手臂要伸直，不要弯成打电话或托腮姿势。 | 脸不要完全消失，否则会混入视线偏移/离开座位因素。,不要把左手贴在脸或耳朵旁。 | 不要两只手同时举起。 | 不要站起来或大幅转身。,assets/test_images/targeted_samples/stretch_arm/stretch_left_horizontal_005_20260708_153849.jpg,kept,警告，考生伸展胳膊,True,626.07
2026-07-08T15:38:52,tune,伸胳膊,stretch_arm,stretch_left_horizontal,左手水平伸直,6,stretch_left_horizontal_006_20260708_153852.jpg,assets/test_images/targeted_samples_clean/stretch_arm/stretch_left_horizontal_006_20260708_153852.jpg,0,补足目前最容易漏检的水平伸左臂样本，观察手腕低于肩膀时的关键点表现。,坐在考试位置，脸和上半身保持在画面中，不要刻意离开座位。 | 只伸左手，手臂尽量从肩膀向左侧水平打开，手腕可以略低于肩膀。 | 右手自然放在桌面或腿上，不要靠近耳朵，避免像打电话。 | 每拍 2 张换一点角度：正对摄像头、身体微左、身体微右交替。,左肩、左肘、左手腕尽量都在画面内。 | 手臂要伸直，不要弯成打电话或托腮姿势。 | 脸不要完全消失，否则会混入视线偏移/离开座位因素。,不要把左手贴在脸或耳朵旁。 | 不要两只手同时举起。 | 不要站起来或大幅转身。,assets/test_images/targeted_samples/stretch_arm/stretch_left_horizontal_006_20260708_153852.jpg,kept,警告，考生伸展胳膊,True,584.53
2026-07-08T15:38:55,tune,伸胳膊,stretch_arm,stretch_left_horizontal,左手水平伸直,7,stretch_left_horizontal_007_20260708_153855.jpg,assets/test_images/targeted_samples_clean/stretch_arm/stretch_left_horizontal_007_20260708_153855.jpg,0,补足目前最容易漏检的水平伸左臂样本，观察手腕低于肩膀时的关键点表现。,坐在考试位置，脸和上半身保持在画面中，不要刻意离开座位。 | 只伸左手，手臂尽量从肩膀向左侧水平打开，手腕可以略低于肩膀。 | 右手自然放在桌面或腿上，不要靠近耳朵，避免像打电话。 | 每拍 2 张换一点角度：正对摄像头、身体微左、身体微右交替。,左肩、左肘、左手腕尽量都在画面内。 | 手臂要伸直，不要弯成打电话或托腮姿势。 | 脸不要完全消失，否则会混入视线偏移/离开座位因素。,不要把左手贴在脸或耳朵旁。 | 不要两只手同时举起。 | 不要站起来或大幅转身。,assets/test_images/targeted_samples/stretch_arm/stretch_left_horizontal_007_20260708_153855.jpg,kept,警告，考生伸展胳膊,True,617.36
2026-07-08T15:38:58,eval,伸胳膊,stretch_arm,stretch_left_horizontal,左手水平伸直,8,stretch_left_horizontal_008_20260708_153858.jpg,assets/test_images/targeted_samples_clean/stretch_arm/stretch_left_horizontal_008_20260708_153858.jpg,0,补足目前最容易漏检的水平伸左臂样本，观察手腕低于肩膀时的关键点表现。,坐在考试位置，脸和上半身保持在画面中，不要刻意离开座位。 | 只伸左手，手臂尽量从肩膀向左侧水平打开，手腕可以略低于肩膀。 | 右手自然放在桌面或腿上，不要靠近耳朵，避免像打电话。 | 每拍 2 张换一点角度：正对摄像头、身体微左、身体微右交替。,左肩、左肘、左手腕尽量都在画面内。 | 手臂要伸直，不要弯成打电话或托腮姿势。 | 脸不要完全消失，否则会混入视线偏移/离开座位因素。,不要把左手贴在脸或耳朵旁。 | 不要两只手同时举起。 | 不要站起来或大幅转身。,assets/test_images/targeted_samples/stretch_arm/stretch_left_horizontal_008_20260708_153858.jpg,kept,正常考试中 ...,False,644.61
2026-07-08T15:39:01,eval,伸胳膊,stretch_arm,stretch_left_horizontal,左手水平伸直,9,stretch_left_horizontal_009_20260708_153901.jpg,assets/test_images/targeted_samples_clean/stretch_arm/stretch_left_horizontal_009_20260708_153901.jpg,0,补足目前最容易漏检的水平伸左臂样本，观察手腕低于肩膀时的关键点表现。,坐在考试位置，脸和上半身保持在画面中，不要刻意离开座位。 | 只伸左手，手臂尽量从肩膀向左侧水平打开，手腕可以略低于肩膀。 | 右手自然放在桌面或腿上，不要靠近耳朵，避免像打电话。 | 每拍 2 张换一点角度：正对摄像头、身体微左、身体微右交替。,左肩、左肘、左手腕尽量都在画面内。 | 手臂要伸直，不要弯成打电话或托腮姿势。 | 脸不要完全消失，否则会混入视线偏移/离开座位因素。,不要把左手贴在脸或耳朵旁。 | 不要两只手同时举起。 | 不要站起来或大幅转身。,assets/test_images/targeted_samples/stretch_arm/stretch_left_horizontal_009_20260708_153901.jpg,kept,正常考试中 ...,False,690.32
2026-07-08T15:39:17,eval,伸胳膊,stretch_arm,stretch_left_horizontal,左手水平伸直,10,stretch_left_horizontal_010_20260708_153917.jpg,assets/test_images/targeted_samples_clean/stretch_arm/stretch_left_horizontal_010_20260708_153917.jpg,0,补足目前最容易漏检的水平伸左臂样本，观察手腕低于肩膀时的关键点表现。,坐在考试位置，脸和上半身保持在画面中，不要刻意离开座位。 | 只伸左手，手臂尽量从肩膀向左侧水平打开，手腕可以略低于肩膀。 | 右手自然放在桌面或腿上，不要靠近耳朵，避免像打电话。 | 每拍 2 张换一点角度：正对摄像头、身体微左、身体微右交替。,左肩、左肘、左手腕尽量都在画面内。 | 手臂要伸直，不要弯成打电话或托腮姿势。 | 脸不要完全消失，否则会混入视线偏移/离开座位因素。,不要把左手贴在脸或耳朵旁。 | 不要两只手同时举起。 | 不要站起来或大幅转身。,assets/test_images/targeted_samples/stretch_arm/stretch_left_horizontal_010_20260708_153917.jpg,kept,警告，考生伸展胳膊,True,666.75
2026-07-08T15:39:24,tune,伸胳膊,stretch_arm,stretch_right_horizontal,右手水平伸直,1,stretch_right_horizontal_001_20260708_153924.jpg,assets/test_images/targeted_samples_clean/stretch_arm/stretch_right_horizontal_001_20260708_153924.jpg,0,继续补水平伸右臂样本，验证新增低位伸展规则是否稳定。,坐在座位上，身体大致面对摄像头。 | 只伸右手，手臂向右侧水平打开，肘部尽量伸直。 | 左手自然放下，不要做打电话、托腮、摸头动作。 | 每拍几张调整手腕高度：略高于肩、齐肩、略低于肩。,右肩、右肘、右手腕要尽量入镜。 | 手腕离耳朵远一点，形成明确的伸展动作。 | 背景尽量保持考试环境，不要让第二个人入镜。,不要让手臂被桌子、椅背或身体遮住。 | 不要把手机拿到耳边。 | 不要让手腕出画面。,assets/test_images/targeted_samples/stretch_arm/stretch_right_horizontal_001_20260708_153924.jpg,kept,警告，考生伸展胳膊,True,615.61
2026-07-08T15:39:27,tune,伸胳膊,stretch_arm,stretch_right_horizontal,右手水平伸直,2,stretch_right_horizontal_002_20260708_153927.jpg,assets/test_images/targeted_samples_clean/stretch_arm/stretch_right_horizontal_002_20260708_153927.jpg,0,继续补水平伸右臂样本，验证新增低位伸展规则是否稳定。,坐在座位上，身体大致面对摄像头。 | 只伸右手，手臂向右侧水平打开，肘部尽量伸直。 | 左手自然放下，不要做打电话、托腮、摸头动作。 | 每拍几张调整手腕高度：略高于肩、齐肩、略低于肩。,右肩、右肘、右手腕要尽量入镜。 | 手腕离耳朵远一点，形成明确的伸展动作。 | 背景尽量保持考试环境，不要让第二个人入镜。,不要让手臂被桌子、椅背或身体遮住。 | 不要把手机拿到耳边。 | 不要让手腕出画面。,assets/test_images/targeted_samples/stretch_arm/stretch_right_horizontal_002_20260708_153927.jpg,kept,警告，考生伸展胳膊,True,703.45
2026-07-08T15:39:30,tune,伸胳膊,stretch_arm,stretch_right_horizontal,右手水平伸直,3,stretch_right_horizontal_003_20260708_153930.jpg,assets/test_images/targeted_samples_clean/stretch_arm/stretch_right_horizontal_003_20260708_153930.jpg,0,继续补水平伸右臂样本，验证新增低位伸展规则是否稳定。,坐在座位上，身体大致面对摄像头。 | 只伸右手，手臂向右侧水平打开，肘部尽量伸直。 | 左手自然放下，不要做打电话、托腮、摸头动作。 | 每拍几张调整手腕高度：略高于肩、齐肩、略低于肩。,右肩、右肘、右手腕要尽量入镜。 | 手腕离耳朵远一点，形成明确的伸展动作。 | 背景尽量保持考试环境，不要让第二个人入镜。,不要让手臂被桌子、椅背或身体遮住。 | 不要把手机拿到耳边。 | 不要让手腕出画面。,assets/test_images/targeted_samples/stretch_arm/stretch_right_horizontal_003_20260708_153930.jpg,kept,警告，考生伸展胳膊,True,761.87
